64,0.0935,0.714,0.942,0.0,10.0,0.303,0.126,0.673,1
65,0.000336,0.317,0.989,0.0474,8.0,0.774,0.0848,0.833,1
66,0.000983,0.633,0.961,0.00011,5.0,0.036,0.16,0.91,1
67,0.0377,0.599,0.841,0.013,4.0,0.109,0.152,0.122,1
68,0.0153,0.607,0.866,0.0,7.0,0.349,0.216,0.636,1
69,0.000984,0.555,0.956,0.122,7.0,0.179,0.0399,0.497,1
70,0.00865,0.683,0.535,0.0068,11.0,0.0693,0.241,0.609,1
71,0.00882,0.579,0.84,0.0,0.0,0.12,0.0568,0.175,1
72,0.123,0.716,0.787,0.0171,11.0,0.155,0.0723,0.308,1
73,3.89e-05,0.516,0.893,0.66,8.0,0.264,0.0555,0.453,1
74,0.00172,0.625,0.969,0.0685,11.0,0.0711,0.0832,0.541,1
75,0.0572,0.807,0.812,0.103,1.0,0.418,0.204,0.713,1
76,0.000382,0.64,0.878,0.462,2.0,0.229,0.0671,0.215,1
77,0.0117,0.646,0.967,0.000185,2.0,0.235,0.185,0.742,1
78,0.000122,0.514,0.899,0.0793,7.0,0.367,0.0602,0.266,1
79,0.0678,0.507,0.902,0.00305,7.0,0.137,0.35,0.234,1
80,0.0037,0.718,0.821,9.29e-05,5.0,0.33,0.0884,0.653,1
81,0.0151,0.621,0.939,0.0231,11.0,0.312,0.0441,0.355,1
82,0.0154,0.551,0.92,0.0197,6.0,0.362,0.1,0.367,1
83,0.052,0.527,0.912,0.00741,2.0,0.225,0.401,0.513,1
84,0.000279,0.743,0.896,0.00017,4.0,0.382,0.0708,0.528,1
85,0.0191,0.482,0.947,0.0652,5.0,0.0602,0.315,0.506,1
86,0.194,0.612,0.846,0.0,7.0,0.0911,0.141,0.175,1
87,0.0328,0.38,0.938,0.0,2.0,0.122,0.367,0.36,1
88,0.00725,0.701,0.942,0.306,6.0,0.251,0.124,0.468,1
89,0.000448,0.65,0.992,0.52,6.0,0.387,0.199,0.362,1
90,0.000127,0.493,0.964,0.0398,1.0,0.3,0.402,0.669,1
91,0.00151,0.626,0.942,0.000312,0.0,0.347,0.0452,0.417,1
92,0.00271,0.588,0.991,0.398,0.0,0.332,0.0938,0.58,1
93,0.00746,0.57,0.992,3.75e-05,1.0,0.375,0.163,0.808,1
94,0.000561,0.723,0.939,0.0585,7.0,0.286,0.107,0.48,1
95,0.004,0.636,0.958,1.17e-06,9.0,0.267,0.422,0.395,1
96,0.000261,0.621,0.997,0.00488,0.0,0.242,0.0778,0.776,1
97,0.00117,0.545,0.917,4.66e-06,6.0,0.17,0.203,0.749,1
98,0.00036,0.332,0.828,0.0188,4.0,0.22,0.0449,0.2,1
99,0.0046,0.513,0.868,0.00225,4.0,0.0632,0.119,0.759,1
100,0.0134,0.456,0.987,0.0273,5.0,0.0469,0.0887,0.306,1
101,0.00217,0.542,0.765,0.831,1.0,0.0611,0.135,0.394,1
102,0.000619,0.64,0.965,0.887,0.0,0.118,0.0681,0.667,1
103,0.19,0.396,0.702,0.828,1.0,0.108,0.041,0.18,1
104,0.0918,0.824,0.825,3.66e-05,1.0,0.0531,0.128,0.557,1
105,0.0585,0.55,0.979,0.574,5.0,0.0915,0.0646,0.5,1
106,0.00043,0.637,0.976,0.198,0.0,0.107,0.0914,0.407,1
107,0.00345,0.494,0.834,0.754,1.0,0.0934,0.0361,0.158,1
108,0.00084,0.517,0.975,0.679,1.0,0.246,0.426,0.798,1
