_id,Acousticness,Danceability,Energy,Instrumentalness,MusicalKey,Liveness,Speechiness,Valence,Tag_id
63,0.00814,0.542,0.905,2.31e-06,0.0,0.0865,0.0451,0.604,1
64,0.0935,0.714,0.942,0.0,10.0,0.303,0.126,0.673,1
65,0.000336,0.317,0.989,0.0474,8.0,0.774,0.0848,0.833,1
66,0.000983,0.633,0.961,0.00011,5.0,0.036,0.16,0.91,1
67,0.0377,0.599,0.841,0.013,4.0,0.109,0.152,0.122,1
68,0.0153,0.607,0.866,0.0,7.0,0.349,0.216,0.636,1
69,0.000984,0.555,0.956,0.122,7.0,0.179,0.0399,0.497,1
70,0.00865,0.683,0.535,0.0068,11.0,0.0693,0.241,0.609,1
71,0.00882,0.579,0.84,0.0,0.0,0.12,0.0568,0.175,1
72,0.123,0.716,0.787,0.0171,11.0,0.155,0.0723,0.308,1
73,3.89e-05,0.516,0.893,0.66,8.0,0.264,0.0555,0.453,1
74,0.00172,0.625,0.969,0.0685,11.0,0.0711,0.0832,0.541,1
75,0.0572,0.807,0.812,0.103,1.0,0.418,0.204,0.713,1
76,0.000382,0.64,0.878,0.462,2.0,0.229,0.0671,0.215,1
77,0.0117,0.646,0.967,0.000185,2.0,0.235,0.185,0.742,1
78,0.000122,0.514,0.899,0.0793,7.0,0.367,0.0602,0.266,1
79,0.0678,0.507,0.902,0.00305,7.0,0.137,0.35,0.234,1
80,0.0037,0.718,0.821,9.29e-05,5.0,0.33,0.0884,0.653,1
81,0.0151,0.621,0.939,0.0231,11.0,0.312,0.0441,0.355,1
82,0.0154,0.551,0.92,0.0197,6.0,0.362,0.1,0.367,1
119,0.965,0.215,0.0425,0.921,6.0,0.11,0.0418,0.0663,2
120,0.699,0.0936,0.202,0.938,0.0,0.109,0.0406,0.034,2
121,0.978,0.071,0.0432,0.924,2.0,0.0867,0.0452,0.219,2
122,0.958,0.482,0.0257,0.923,9.0,0.104,0.0323,0.144,2
123,0.626,0.144,0.247,0.971,4.0,0.153,0.038,0.0881,2
124,0.984,0.145,0.0465,0.937,2.0,0.0917,0.0371,0.0331,2
125,0.981,0.0722,0.0619,0.968,5.0,0.373,0.0421,0.0722,2
126,0.882,0.324,0.0413,0.815,9.0,0.107,0.035,0.0315,2
127,0.758,0.0778,0.445,0.907,5.0,0.0915,0.0377,0.0497,2
128,0.815,0.181,0.114,0.909,0.0,0.114,0.0405,0.0652,2
129,0.984,0.169,0.0283,0.907,11.0,0.114,0.0398,0.056,2
130,0.99,0.229,0.0017,0.948,11.0,0.105,0.0447,0.45,2
131,0.957,0.209,0.0692,0.868,2.0,0.115,0.046,0.0695,2
132,0.866,0.228,0.0868,0.93,7.0,0.114,0.0329,0.038,2
133,0.985,0.43,0.256,0.867,2.0,0.106,0.0641,0.173,2
134,0.952,0.413,0.0404,0.969,3.0,0.128,0.0359,0.038,2
135,0.89,0.154,0.125,0.693,7.0,0.111,0.0351,0.111,2
